order_id,customer_id,sku,qty,unit_price
ORD-2025-000001,3,KEYBOARD-001,3,129.99
ORD-2025-000002,2,HEADPHONE-001,4,349.99
ORD-2025-000003,1,MOUSE-001,1,89.99
ORD-2025-000004,2,MONITOR-001,5,499.99
ORD-2025-000005,3,MONITOR-001,3,499.99
ORD-2024-000006,1,KEYBOARD-001,1,129.99
ORD-2025-000007,4,LAPTOP-001,2,1299.99
ORD-2025-000008,5,KEYBOARD-001,5,129.99
ORD-2025-000009,3,WATCH-001,2,399.99
ORD-2025-000010,5,MONITOR-001,4,499.99
ORD-2025-000011,1,PHONE-001,3,999.99
ORD-2025-000012,2,KEYBOARD-001,1,129.99
ORD-2025-000013,4,SSD-001,4,199.99
ORD-2024-000014,2,MOUSE-001,2,89.99
ORD-2025-000015,2,LAPTOP-001,2,1299.99
ORD-2025-000016,1,HEADPHONE-001,3,349.99
ORD-2025-000017,5,WATCH-001,5,399.99
ORD-2025-000018,1,ROUTER-001,2,249.99
ORD-2025-000019,1,WATCH-001,5,399.99
ORD-2024-000020,5,MONITOR-001,1,499.99
ORD-2024-000021,3,KEYBOARD-001,2,129.99
ORD-2025-000022,4,MONITOR-001,2,499.99
ORD-2025-000023,3,SSD-001,5,199.99
ORD-2025-000024,2,ROUTER-001,5,249.99
ORD-2024-000025,2,PHONE-001,2,999.99
ORD-2025-000026,3,KEYBOARD-001,2,129.99
ORD-2024-000027,3,LAPTOP-001,3,1299.99
ORD-2024-000028,5,HEADPHONE-001,4,349.99
ORD-2025-000029,2,SSD-001,4,199.99
ORD-2025-000030,1,WATCH-001,3,399.99
ORD-2025-000031,4,PHONE-001,1,999.99
ORD-2025-000032,5,LAPTOP-001,5,1299.99
ORD-2025-000033,1,TABLET-001,2,599.99
ORD-2025-000034,3,ROUTER-001,5,249.99
ORD-2024-000035,1,WATCH-001,1,399.99
ORD-2025-000036,2,LAPTOP-001,2,1299.99
ORD-2025-000037,5,HEADPHONE-001,1,349.99
ORD-2024-000038,4,WATCH-001,4,399.99
ORD-2025-000039,1,MOUSE-001,3,89.99
ORD-2025-000040,3,LAPTOP-001,4,1299.99
ORD-2024-000041,5,TABLET-001,2,599.99
ORD-2025-000042,1,WATCH-001,1,399.99
ORD-2025-000043,3,LAPTOP-001,4,1299.99
ORD-2025-000044,3,ROUTER-001,1,249.99
ORD-2025-000045,1,SSD-001,1,199.99
ORD-2025-000046,4,HEADPHONE-001,2,349.99
ORD-2025-000047,3,ROUTER-001,1,249.99
ORD-2025-000048,5,MOUSE-001,1,89.99
ORD-2025-000049,3,HEADPHONE-001,1,349.99
ORD-2025-000050,3,WATCH-001,3,399.99
ORD-2024-000051,2,SSD-001,3,199.99
ORD-2025-000052,1,SSD-001,4,199.99
ORD-2025-000053,2,HEADPHONE-001,3,349.99
ORD-2025-000054,3,SSD-001,2,199.99
ORD-2024-000055,3,PHONE-001,2,999.99
ORD-2025-000056,1,HEADPHONE-001,5,349.99
ORD-2025-000057,2,HEADPHONE-001,2,349.99
ORD-2024-000058,2,TABLET-001,5,599.99
ORD-2025-000059,3,ROUTER-001,3,249.99
ORD-2025-000060,2,TABLET-001,5,599.99
ORD-2025-000061,3,WATCH-001,3,399.99
ORD-2025-000062,3,KEYBOARD-001,5,129.99
ORD-2025-000063,3,KEYBOARD-001,3,129.99
ORD-2025-000064,1,ROUTER-001,5,249.99
ORD-2025-000065,4,PHONE-001,3,999.99
